Unit ID,Name of Unit on AWM
https://www.awm.gov.au/unit/U51441/,1st Australian Infantry Battalion
https://www.awm.gov.au/unit/U51442/,2nd Australian Infantry Battalion
https://www.awm.gov.au/unit/U51445/,5th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51446/,6th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51448/,8th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51449/,9th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51451/,11th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51452/,12th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51457/,17th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51462/,22nd Australian Infantry Battalion
https://www.awm.gov.au/unit/U51472/,32nd Australian Infantry Battalion
https://www.awm.gov.au/unit/U51480/,40th Australian Infantry Battalion
https://www.awm.gov.au/unit/U51481/,41st Australian Infantry Battalion
https://www.awm.gov.au/unit/U51483/,43rd Australian Infantry Battalion